1	group	sample	Mated	rep	pretty
CONT1	CONT	CONT1	0	1	Control 1
CONT2	CONT	CONT2	0	2	Control 2
CONT4	CONT	CONT4	0	4	Control 4
INT1	INT	INT1	1	1	Intact 1
INT2	INT	INT2	1	2	Intact 2
INT3	INT	INT3	1	3	Intact 3
INT4	INT	INT4	1	4	Intact 4
SVX1	SVX	SVX1	1	1	SVX 1
SVX2	SVX	SVX2	1	2	SVX 2
SVX3	SVX	SVX3	1	3	SVX 3
SVX4	SVX	SVX4	1	4	SVX 4
SVX_VAS1	SVX_VAS	SVX_VAS1	1	1	SVX-VAS 1
SVX_VAS2	SVX_VAS	SVX_VAS2	1	2	SVX-VAS 2
SVX_VAS3	SVX_VAS	SVX_VAS3	1	3	SVX-VAS 3
SVX_VAS4	SVX_VAS	SVX_VAS4	1	4	SVX-VAS 4
VAS1	VAS	VAS1	1	1	VAS 1
VAS2	VAS	VAS2	1	2	VAS 2
VAS3	VAS	VAS3	1	3	VAS 3
VAS4	VAS	VAS4	1	4	VAS 4
